epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_contrastive_loss,val_contrastive_loss,learning_rate,contrastive_weight
1,2.237282471997397,2.083420366048813,20.0,18.181818181818183,2.3179722939218794,0.0,5e-05,0.0
2,1.97550544994218,1.9410733878612518,30.227272727272727,12.727272727272727,2.087514523948942,0.0,5e-05,0.010000000000000002
3,1.7599047677857536,1.5377723574638367,36.70454545454545,40.0,1.8626954810959953,0.0,5e-05,0.020000000000000004
4,1.5509040313107627,1.1931302547454834,50.22727272727273,78.18181818181819,1.6454721135752541,0.0,5e-05,0.03
5,1.3425662772996085,1.1690171360969543,60.11363636363637,67.27272727272727,1.1865033102887017,0.0,5e-05,0.04000000000000001
6,1.1942405274936132,0.9787787348031998,68.63636363636364,81.81818181818181,0.989338008420808,0.0,5e-05,0.05
7,1.1094625209059035,1.0942595601081848,74.77272727272727,66.36363636363636,0.8898083141871861,0.0,5e-05,0.06
8,1.0696070066520147,0.7277417629957199,77.72727272727273,96.36363636363636,0.7553296323333468,0.0,5e-05,0.06999999999999999
9,0.9876325790371213,0.6459924131631851,82.04545454545455,98.18181818181819,0.6287649050354958,0.0,5e-05,0.08000000000000002
10,0.8617963812180928,0.675159141421318,89.54545454545455,95.45454545454545,0.5756193505866187,0.0,5e-05,0.09000000000000001
11,0.8427227075610842,0.6186982840299606,89.88636363636364,99.0909090909091,0.41005089825817514,0.0,5e-05,0.1
12,0.7906146964856556,0.9489782452583313,92.1590909090909,79.0909090909091,0.37725246750882696,0.0,5e-05,0.1
13,0.7285907438823155,0.5929047167301178,94.43181818181819,100.0,0.2903087069945676,0.0,5e-05,0.1
14,0.712405223931585,0.5890406966209412,96.13636363636364,100.0,0.24793922661670617,0.0,5e-05,0.1
15,0.6668902805873326,0.5984848290681839,97.95454545454545,99.0909090909091,0.21278160331504686,0.0,5e-05,0.1
16,0.6570407024451664,0.5741353780031204,97.61363636363636,100.0,0.15058268713099615,0.0,5e-05,0.1
17,0.6526559335844857,0.572017177939415,97.72727272727273,100.0,0.13755590894392558,0.0,5e-05,0.1
18,0.6234118895871299,0.5716300010681152,99.43181818181819,99.0909090909091,0.11575700981276375,0.0,5e-05,0.1
19,0.6282819019896644,0.5614596009254456,98.97727272727273,99.0909090909091,0.1097461845991867,0.0,5e-05,0.1
20,0.6337948590517044,0.5527992844581604,98.63636363636364,100.0,0.08792018304978098,0.0,5e-05,0.1
21,0.6238642249788556,0.5526526719331741,98.86363636363636,100.0,0.07723795675805636,0.0,5e-05,0.1
22,0.5984487150396619,0.5725532174110413,99.6590909090909,97.27272727272727,0.07894687208213977,0.0,5e-05,0.1
23,0.6039236996855054,0.5461313277482986,99.31818181818181,100.0,0.07563977522243347,0.0,5e-05,0.1
24,0.5998966587441308,0.5416935235261917,99.54545454545455,100.0,0.06472194434276649,0.0,5e-05,0.1
25,0.5999601845230375,0.5483963936567307,99.54545454545455,100.0,0.060957442702991624,0.0,5e-05,0.1
26,0.5795727946928569,0.5543346703052521,100.0,99.0909090909091,0.04899023872401033,0.0,5e-05,0.1
27,0.583150578396661,0.5532965660095215,99.77272727272727,99.0909090909091,0.05378531305385487,0.0,5e-05,0.1
28,0.585929165993418,0.5413340181112289,99.77272727272727,100.0,0.053509265051356385,0.0,5e-05,0.1
29,0.5736423901149205,0.5344257950782776,99.77272727272727,100.0,0.043508279137313366,0.0,5e-05,0.1
30,0.5758477747440338,0.5448575019836426,99.77272727272727,100.0,0.04121858646560993,0.0,5e-05,0.1
31,0.5767258554697037,0.5332275778055191,99.6590909090909,100.0,0.04990172013640404,0.0,5e-05,0.1
32,0.577538183757237,0.5334518551826477,99.6590909090909,100.0,0.043357168191245625,0.0,5e-05,0.1
33,0.5740135673965726,0.5270192623138428,99.77272727272727,100.0,0.035209489054977894,0.0,5e-05,0.1
34,0.562913464648383,0.5298076122999191,100.0,100.0,0.03222975081631115,0.0,5e-05,0.1
35,0.5584002392632621,0.5278496146202087,100.0,100.0,0.03301019547507167,0.0,5e-05,0.1
36,0.5706194149596351,0.5241168588399887,99.88636363636364,100.0,0.036549807858786414,0.0,5e-05,0.1
37,0.5603153577872685,0.5295476317405701,100.0,100.0,0.03144998722044485,0.0,5e-05,0.1
38,0.5560785446848188,0.5235303044319153,100.0,100.0,0.028107918998492614,0.0,5e-05,0.1
39,0.5619137947048459,0.5237956941127777,100.0,100.0,0.030096006114035845,0.0,5e-05,0.1
40,0.5610802386488233,0.5217176377773285,100.0,100.0,0.02606025684092726,0.0,5e-05,0.1
41,0.552803390792438,0.5240776985883713,100.0,100.0,0.02550918994737523,0.0,5e-05,0.1
42,0.5581928342580795,0.5245177298784256,100.0,100.0,0.024169752108199254,0.0,5e-05,0.1
43,0.5521264736141477,0.5154445767402649,100.0,100.0,0.026863559282251766,0.0,5e-05,0.1
44,0.5502535275050572,0.5136846005916595,99.88636363636364,100.0,0.025073460303246975,0.0,5e-05,0.1
45,0.5502716877630779,0.5161523073911667,100.0,100.0,0.02413224196061492,0.0,5e-05,0.1
46,0.5519103003399712,0.5151700079441071,100.0,100.0,0.02215947470228587,0.0,5e-05,0.1
47,0.5522354670933315,0.5176044404506683,99.88636363636364,100.0,0.023258084830428873,0.0,5e-05,0.1
48,0.5495227383715766,0.5203243792057037,100.0,100.0,0.022398700139352253,0.0,5e-05,0.1
49,0.5473025505031858,0.5173143744468689,100.0,100.0,0.02358506533450314,0.0,5e-05,0.1
50,0.5472145527601242,0.5169381201267242,100.0,100.0,0.027005835502807583,0.0,5e-05,0.1
51,0.5489494800567627,0.5151844620704651,100.0,100.0,0.022868058810542737,0.0,5e-05,0.1
52,0.5443383838449206,0.5139104872941971,100.0,100.0,0.021348011047978486,0.0,5e-05,0.1
53,0.5458821526595524,0.51713065803051,100.0,100.0,0.0220609898013728,0.0,5e-05,0.1
54,0.5454955846071243,0.5129328817129135,100.0,100.0,0.02139122291867222,0.0,5e-05,0.1
55,0.5496399700641632,0.5176207721233368,100.0,100.0,0.020569810144869343,0.0,5e-05,0.1
56,0.5441657624074391,0.5135353207588196,100.0,100.0,0.021315956687820808,0.0,5e-05,0.1
57,0.5437559251274381,0.5127484351396561,100.0,100.0,0.020384807771603976,0.0,5e-05,0.1
58,0.5442007673638207,0.5142269730567932,100.0,100.0,0.021067149438230053,0.0,5e-05,0.1
59,0.5399153083562851,0.513152614235878,100.0,100.0,0.018653342367282937,0.0,5e-05,0.1
